session_id,customer_id,login_time,logout_time,device_type,browser,pages_visited,session_duration
26,44c18f49_andr0831202204,"2023-09-02 00:00:00","2023-09-02 01:47:00",Desktop,Chrome,13,107
27,44c18f49_andr0831202204,"2023-09-30 00:00:00","2023-09-30 01:42:00",Tablet,Safari,19,102
28,44c18f49_andr0831202204,"2024-04-30 00:00:00","2024-04-30 01:42:00",Mobile,Firefox,13,102
29,bf8e56ca_chia6970202205,"2023-08-13 00:00:00","2023-08-13 01:48:00",Tablet,Chrome,6,108
30,bf8e56ca_chia6970202205,"2023-10-13 00:00:00","2023-10-13 01:09:00",Desktop,Safari,2,69
31,bf8e56ca_chia6970202205,"2023-12-11 00:00:00","2023-12-11 01:05:00",Mobile,Chrome,11,65
32,74df2940_sota3275202304,"2023-02-24 00:00:00","2023-02-24 01:30:00",Tablet,Safari,15,90
33,74df2940_sota3275202304,"2024-04-27 00:00:00","2024-04-27 00:28:00",Tablet,Safari,13,28
34,74df2940_sota3275202304,"2023-01-21 00:00:00","2023-01-21 00:30:00",Desktop,Safari,16,30
35,ca534099_ayes0740202309,"2023-03-22 00:00:00","2023-03-22 01:54:00",Tablet,Chrome,4,114
36,ca534099_ayes0740202309,"2023-06-15 00:00:00","2023-06-15 00:48:00",Desktop,Firefox,17,48
37,ca534099_ayes0740202309,"2023-07-10 00:00:00","2023-07-10 01:56:00",Desktop,Firefox,15,116
38,6a976820_mia.1224202208,"2023-03-25 00:00:00","2023-03-25 00:28:00",Mobile,Edge,9,28
39,6a976820_mia.1224202208,"2023-09-18 00:00:00","2023-09-18 01:52:00",Mobile,Edge,5,112
40,6a976820_mia.1224202208,"2023-10-21 00:00:00","2023-10-21 00:40:00",Desktop,Chrome,18,40
41,6a976820_mia.1224202208,"2023-04-21 00:00:00","2023-04-21 00:31:00",Mobile,Edge,9,31
42,6a976820_mia.1224202208,"2023-12-13 00:00:00","2023-12-13 01:57:00",Tablet,Firefox,15,117
43,6a976820_mia.1224202208,"2023-08-29 00:00:00","2023-08-29 01:56:00",Tablet,Edge,8,116
44,6a976820_mia.1224202208,"2023-07-08 00:00:00","2023-07-08 01:37:00",Desktop,Edge,20,97
45,6a976820_mia.1224202208,"2024-04-03 00:00:00","2024-04-03 00:10:00",Tablet,Edge,12,10
46,6a976820_mia.1224202208,"2023-01-15 00:00:00","2023-01-15 01:00:00",Tablet,Edge,8,60
47,43264630_sota7825202206,"2023-11-12 00:00:00","2023-11-12 00:20:00",Tablet,Firefox,6,20
48,43264630_sota7825202206,"2023-08-22 00:00:00","2023-08-22 01:02:00",Mobile,Firefox,14,62
49,43264630_sota7825202206,"2023-11-21 00:00:00","2023-11-21 01:14:00",Tablet,Firefox,19,74
50,43264630_sota7825202206,"2024-01-07 00:00:00","2024-01-07 00:30:00",Mobile,Edge,4,30
51,43264630_sota7825202206,"2023-01-01 00:00:00","2023-01-01 00:52:00",Desktop,Edge,16,52
52,43264630_sota7825202206,"2023-01-29 00:00:00","2023-01-29 01:56:00",Tablet,Chrome,20,116
53,43264630_sota7825202206,"2023-03-03 00:00:00","2023-03-03 00:42:00",Tablet,Safari,10,42
54,e71b5a7c_mia.7796202305,"2024-02-08 00:00:00","2024-02-08 01:13:00",Desktop,Chrome,1,73
55,e71b5a7c_mia.7796202305,"2023-06-14 00:00:00","2023-06-14 01:47:00",Mobile,Edge,13,107
56,e71b5a7c_mia.7796202305,"2023-08-05 00:00:00","2023-08-05 01:01:00",Desktop,Chrome,17,61
57,e71b5a7c_mia.7796202305,"2024-01-06 00:00:00","2024-01-06 01:34:00",Desktop,Safari,3,94
58,e71b5a7c_mia.7796202305,"2023-10-30 00:00:00","2023-10-30 00:03:00",Tablet,Safari,14,3
59,e71b5a7c_mia.7796202305,"2023-10-28 00:00:00","2023-10-28 01:23:00",Desktop,Firefox,18,83
60,e71b5a7c_mia.7796202305,"2023-10-25 00:00:00","2023-10-25 01:05:00",Tablet,Safari,2,65
61,e71b5a7c_mia.7796202305,"2024-02-11 00:00:00","2024-02-11 00:12:00",Desktop,Chrome,20,12
62,e71b5a7c_mia.7796202305,"2023-05-16 00:00:00","2023-05-16 00:36:00",Tablet,Firefox,7,36
63,2f686148_tahm3972202205,"2023-02-05 00:00:00","2023-02-05 01:41:00",Mobile,Firefox,19,101
64,baead435_gius1402202308,"2023-05-14 00:00:00","2023-05-14 00:57:00",Desktop,Chrome,16,57
65,523d58d5_fran0458202204,"2023-04-25 00:00:00","2023-04-25 00:24:00",Tablet,Firefox,7,24
66,523d58d5_fran0458202204,"2023-12-10 00:00:00","2023-12-10 01:02:00",Mobile,Chrome,2,62
67,523d58d5_fran0458202204,"2023-05-21 00:00:00","2023-05-21 01:09:00",Tablet,Firefox,10,69
68,523d58d5_fran0458202204,"2023-04-13 00:00:00","2023-04-13 01:28:00",Tablet,Safari,4,88
69,523d58d5_fran0458202204,"2023-07-18 00:00:00","2023-07-18 01:49:00",Mobile,Firefox,11,109
70,523d58d5_fran0458202204,"2023-01-21 00:00:00","2023-01-21 00:26:00",Mobile,Edge,13,26
71,952a6241_oliv8076202207,"2023-01-01 00:00:00","2023-01-01 00:46:00",Tablet,Safari,16,46
72,952a6241_oliv8076202207,"2023-01-03 00:00:00","2023-01-03 01:05:00",Mobile,Chrome,4,65
73,952a6241_oliv8076202207,"2023-05-01 00:00:00","2023-05-01 00:24:00",Desktop,Edge,12,24
74,952a6241_oliv8076202207,"2024-03-27 00:00:00","2024-03-27 01:00:00",Mobile,Safari,15,60
75,952a6241_oliv8076202207,"2024-03-08 00:00:00","2024-03-08 00:13:00",Desktop,Firefox,18,13
76,952a6241_oliv8076202207,"2023-06-23 00:00:00","2023-06-23 00:18:00",Mobile,Chrome,7,18
77,952a6241_oliv8076202207,"2024-03-25 00:00:00","2024-03-25 00:03:00",Mobile,Chrome,12,3
78,0695ef1e_ren.6165202308,"2024-02-29 00:00:00","2024-02-29 00:13:00",Mobile,Firefox,2,13
79,7a0eae98_will3316202305,"2024-03-11 00:00:00","2024-03-11 01:28:00",Tablet,Firefox,4,88
80,7a0eae98_will3316202305,"2023-12-01 00:00:00","2023-12-01 00:29:00",Mobile,Firefox,10,29
81,95dd7754_luca2923202207,"2024-02-06 00:00:00","2024-02-06 00:43:00",Desktop,Edge,4,43
82,95dd7754_luca2923202207,"2023-12-01 00:00:00","2023-12-01 01:45:00",Mobile,Firefox,4,105
83,95dd7754_luca2923202207,"2024-03-05 00:00:00","2024-03-05 00:09:00",Desktop,Safari,6,9
84,95dd7754_luca2923202207,"2024-02-12 00:00:00","2024-02-12 01:51:00",Desktop,Chrome,20,111
85,95dd7754_luca2923202207,"2023-05-25 00:00:00","2023-05-25 00:17:00",Mobile,Chrome,3,17
86,95dd7754_luca2923202207,"2023-08-15 00:00:00","2023-08-15 01:09:00",Tablet,Chrome,16,69
87,95dd7754_luca2923202207,"2023-07-05 00:00:00","2023-07-05 01:46:00",Tablet,Safari,15,106
88,44c18f49_andr0831202204,"2023-04-16 00:00:00","2023-04-16 01:34:00",Tablet,Firefox,17,94
89,44c18f49_andr0831202204,"2024-02-06 00:00:00","2024-02-06 00:11:00",Tablet,Edge,8,11
90,44c18f49_andr0831202204,"2023-09-02 00:00:00","2023-09-02 01:47:00",Desktop,Chrome,13,107
91,44c18f49_andr0831202204,"2023-09-30 00:00:00","2023-09-30 01:42:00",Tablet,Safari,19,102
92,44c18f49_andr0831202204,"2024-04-30 00:00:00","2024-04-30 01:42:00",Mobile,Firefox,13,102
93,bf8e56ca_chia6970202205,"2023-08-13 00:00:00","2023-08-13 01:48:00",Tablet,Chrome,6,108
94,bf8e56ca_chia6970202205,"2023-10-13 00:00:00","2023-10-13 01:09:00",Desktop,Safari,2,69
95,bf8e56ca_chia6970202205,"2023-12-11 00:00:00","2023-12-11 01:05:00",Mobile,Chrome,11,65
96,74df2940_sota3275202304,"2023-02-24 00:00:00","2023-02-24 01:30:00",Tablet,Safari,15,90
97,74df2940_sota3275202304,"2024-04-27 00:00:00","2024-04-27 00:28:00",Tablet,Safari,13,28
98,74df2940_sota3275202304,"2023-01-21 00:00:00","2023-01-21 00:30:00",Desktop,Safari,16,30
99,ca534099_ayes0740202309,"2023-03-22 00:00:00","2023-03-22 01:54:00",Tablet,Chrome,4,114
100,ca534099_ayes0740202309,"2023-06-15 00:00:00","2023-06-15 00:48:00",Desktop,Firefox,17,48
101,ca534099_ayes0740202309,"2023-07-10 00:00:00","2023-07-10 01:56:00",Desktop,Firefox,15,116
102,6a976820_mia.1224202208,"2023-03-25 00:00:00","2023-03-25 00:28:00",Mobile,Edge,9,28
103,6a976820_mia.1224202208,"2023-09-18 00:00:00","2023-09-18 01:52:00",Mobile,Edge,5,112
104,6a976820_mia.1224202208,"2023-10-21 00:00:00","2023-10-21 00:40:00",Desktop,Chrome,18,40
105,6a976820_mia.1224202208,"2023-04-21 00:00:00","2023-04-21 00:31:00",Mobile,Edge,9,31
106,6a976820_mia.1224202208,"2023-12-13 00:00:00","2023-12-13 01:57:00",Tablet,Firefox,15,117
107,6a976820_mia.1224202208,"2023-08-29 00:00:00","2023-08-29 01:56:00",Tablet,Edge,8,116
108,6a976820_mia.1224202208,"2023-07-08 00:00:00","2023-07-08 01:37:00",Desktop,Edge,20,97
109,6a976820_mia.1224202208,"2024-04-03 00:00:00","2024-04-03 00:10:00",Tablet,Edge,12,10
110,6a976820_mia.1224202208,"2023-01-15 00:00:00","2023-01-15 01:00:00",Tablet,Edge,8,60
111,43264630_sota7825202206,"2023-11-12 00:00:00","2023-11-12 00:20:00",Tablet,Firefox,6,20
112,43264630_sota7825202206,"2023-08-22 00:00:00","2023-08-22 01:02:00",Mobile,Firefox,14,62
113,43264630_sota7825202206,"2023-11-21 00:00:00","2023-11-21 01:14:00",Tablet,Firefox,19,74
114,43264630_sota7825202206,"2024-01-07 00:00:00","2024-01-07 00:30:00",Mobile,Edge,4,30
115,43264630_sota7825202206,"2023-01-01 00:00:00","2023-01-01 00:52:00",Desktop,Edge,16,52
116,43264630_sota7825202206,"2023-01-29 00:00:00","2023-01-29 01:56:00",Tablet,Chrome,20,116
117,43264630_sota7825202206,"2023-03-03 00:00:00","2023-03-03 00:42:00",Tablet,Safari,10,42
118,e71b5a7c_mia.7796202305,"2024-02-08 00:00:00","2024-02-08 01:13:00",Desktop,Chrome,1,73
119,e71b5a7c_mia.7796202305,"2023-06-14 00:00:00","2023-06-14 01:47:00",Mobile,Edge,13,107
120,e71b5a7c_mia.7796202305,"2023-08-05 00:00:00","2023-08-05 01:01:00",Desktop,Chrome,17,61
121,e71b5a7c_mia.7796202305,"2024-01-06 00:00:00","2024-01-06 01:34:00",Desktop,Safari,3,94
122,e71b5a7c_mia.7796202305,"2023-10-30 00:00:00","2023-10-30 00:03:00",Tablet,Safari,14,3
123,e71b5a7c_mia.7796202305,"2023-10-28 00:00:00","2023-10-28 01:23:00",Desktop,Firefox,18,83
124,e71b5a7c_mia.7796202305,"2023-10-25 00:00:00","2023-10-25 01:05:00",Tablet,Safari,2,65
125,e71b5a7c_mia.7796202305,"2024-02-11 00:00:00","2024-02-11 00:12:00",Desktop,Chrome,20,12
126,e71b5a7c_mia.7796202305,"2023-05-16 00:00:00","2023-05-16 00:36:00",Tablet,Firefox,7,36
127,2f686148_tahm3972202205,"2023-02-05 00:00:00","2023-02-05 01:41:00",Mobile,Firefox,19,101
128,baead435_gius1402202308,"2023-05-14 00:00:00","2023-05-14 00:57:00",Desktop,Chrome,16,57
129,baead435_gius1402202308,"2023-03-03 00:00:00","2023-03-03 00:40:00",Desktop,Edge,5,40
130,baead435_gius1402202308,"2023-04-06 00:00:00","2023-04-06 00:33:00",Tablet,Chrome,15,33
131,baead435_gius1402202308,"2024-04-04 00:00:00","2024-04-04 01:12:00",Mobile,Edge,17,72
132,baead435_gius1402202308,"2024-02-12 00:00:00","2024-02-12 00:17:00",Desktop,Safari,9,17
133,baead435_gius1402202308,"2023-05-04 00:00:00","2023-05-04 01:34:00",Desktop,Edge,15,94
134,baead435_gius1402202308,"2023-01-27 00:00:00","2023-01-27 00:02:00",Tablet,Safari,12,2
135,507ad135_jame2408202202,"2024-03-22 00:00:00","2024-03-22 00:34:00",Mobile,Firefox,7,34
136,507ad135_jame2408202202,"2023-05-09 00:00:00","2023-05-09 01:04:00",Mobile,Safari,4,64
137,507ad135_jame2408202202,"2023-12-03 00:00:00","2023-12-03 01:17:00",Desktop,Firefox,14,77
138,507ad135_jame2408202202,"2024-02-01 00:00:00","2024-02-01 01:00:00",Desktop,Edge,10,60
139,507ad135_jame2408202202,"2024-02-23 00:00:00","2024-02-23 01:13:00",Tablet,Edge,13,73
140,507ad135_jame2408202202,"2023-01-22 00:00:00","2023-01-22 01:09:00",Mobile,Chrome,5,69
141,507ad135_jame2408202202,"2023-08-14 00:00:00","2023-08-14 01:07:00",Mobile,Chrome,15,67
142,507ad135_jame2408202202,"2023-04-09 00:00:00","2023-04-09 01:15:00",Desktop,Firefox,10,75
143,507ad135_jame2408202202,"2023-12-23 00:00:00","2023-12-23 00:54:00",Tablet,Edge,8,54
144,135d2512_luca0885202305,"2023-09-13 00:00:00","2023-09-13 00:19:00",Mobile,Firefox,13,19
145,135d2512_luca0885202305,"2023-09-26 00:00:00","2023-09-26 01:10:00",Desktop,Safari,9,70
146,135d2512_luca0885202305,"2023-01-31 00:00:00","2023-01-31 00:30:00",Tablet,Chrome,3,30
147,135d2512_luca0885202305,"2023-01-08 00:00:00","2023-01-08 01:36:00",Mobile,Safari,10,96
148,135d2512_luca0885202305,"2023-09-08 00:00:00","2023-09-08 01:13:00",Mobile,Firefox,3,73
149,135d2512_luca0885202305,"2023-04-20 00:00:00","2023-04-20 01:34:00",Desktop,Firefox,20,94
150,436c26a2_sabi9233202304,"2023-01-14 00:00:00","2023-01-14 01:02:00",Desktop,Safari,8,62
151,436c26a2_sabi9233202304,"2024-01-08 00:00:00","2024-01-08 01:17:00",Mobile,Chrome,9,77
152,436c26a2_sabi9233202304,"2024-02-26 00:00:00","2024-02-26 00:48:00",Desktop,Chrome,14,48
153,436c26a2_sabi9233202304,"2023-12-21 00:00:00","2023-12-21 00:57:00",Mobile,Firefox,9,57
154,436c26a2_sabi9233202304,"2023-04-23 00:00:00","2023-04-23 01:15:00",Desktop,Edge,8,75
155,436c26a2_sabi9233202304,"2024-04-15 00:00:00","2024-04-15 00:54:00",Tablet,Safari,18,54
156,436c26a2_sabi9233202304,"2023-02-23 00:00:00","2023-02-23 01:02:00",Tablet,Chrome,20,62
157,436c26a2_sabi9233202304,"2024-04-12 00:00:00","2024-04-12 01:55:00",Mobile,Edge,20,115
158,436c26a2_sabi9233202304,"2024-02-14 00:00:00","2024-02-14 01:00:00",Desktop,Chrome,16,60
159,436c26a2_sabi9233202304,"2023-05-24 00:00:00","2023-05-24 00:34:00",Tablet,Edge,9,34
160,90005676_isla0205202310,"2024-01-25 00:00:00","2024-01-25 01:24:00",Tablet,Safari,8,84
161,90005676_isla0205202310,"2023-12-26 00:00:00","2023-12-26 00:11:00",Tablet,Edge,2,11
162,90005676_isla0205202310,"2024-02-06 00:00:00","2024-02-06 00:23:00",Mobile,Edge,10,23
163,90005676_isla0205202310,"2023-12-18 00:00:00","2023-12-18 00:36:00",Mobile,Firefox,7,36
164,85284c05_will8004202207,"2024-02-19 00:00:00","2024-02-19 01:08:00",Mobile,Firefox,7,68
165,85284c05_will8004202207,"2023-12-26 00:00:00","2023-12-26 00:39:00",Mobile,Chrome,5,39
166,85284c05_will8004202207,"2024-02-12 00:00:00","2024-02-12 00:26:00",Desktop,Chrome,4,26
167,85284c05_will8004202207,"2023-03-17 00:00:00","2023-03-17 00:34:00",Desktop,Chrome,16,34
168,85284c05_will8004202207,"2024-01-17 00:00:00","2024-01-17 00:30:00",Desktop,Safari,4,30
169,85284c05_will8004202207,"2023-12-31 00:00:00","2023-12-31 01:33:00",Desktop,Edge,4,93
170,f0c7cad0_vikr7459202208,"2023-06-29 00:00:00","2023-06-29 00:49:00",Desktop,Chrome,16,49
171,f0c7cad0_vikr7459202208,"2023-02-20 00:00:00","2023-02-20 00:03:00",Mobile,Edge,11,3
172,f0c7cad0_vikr7459202208,"2024-02-07 00:00:00","2024-02-07 00:47:00",Desktop,Firefox,7,47
173,0320eb84_hiro7292202306,"2023-03-19 00:00:00","2023-03-19 00:59:00",Mobile,Safari,15,59
174,0320eb84_hiro7292202306,"2024-03-07 00:00:00","2024-03-07 00:36:00",Mobile,Edge,10,36
175,0320eb84_hiro7292202306,"2023-05-25 00:00:00","2023-05-25 01:32:00",Desktop,Edge,1,92
176,eea36366_yan.1024202208,"2023-01-04 00:00:00","2023-01-04 00:32:00",Tablet,Edge,15,32
177,eea36366_yan.1024202208,"2024-01-29 00:00:00","2024-01-29 00:19:00",Tablet,Firefox,17,19
178,eea36366_yan.1024202208,"2023-02-14 00:00:00","2023-02-14 01:39:00",Mobile,Edge,1,99
179,eea36366_yan.1024202208,"2023-07-03 00:00:00","2023-07-03 00:06:00",Desktop,Chrome,6,6
180,a6de6cc6_saku1087202307,"2023-09-18 00:00:00","2023-09-18 00:32:00",Tablet,Safari,8,32
181,a6de6cc6_saku1087202307,"2023-12-02 00:00:00","2023-12-02 01:59:00",Desktop,Firefox,6,119
182,a6de6cc6_saku1087202307,"2024-02-12 00:00:00","2024-02-12 00:29:00",Desktop,Safari,18,29
183,a6de6cc6_saku1087202307,"2023-08-25 00:00:00","2023-08-25 01:53:00",Mobile,Edge,13,113
184,6dcb3552_john9535202208,"2023-03-13 00:00:00","2023-03-13 01:57:00",Mobile,Safari,6,117
185,6dcb3552_john9535202208,"2023-06-23 00:00:00","2023-06-23 01:52:00",Tablet,Edge,4,112
186,6dcb3552_john9535202208,"2023-05-29 00:00:00","2023-05-29 00:52:00",Tablet,Firefox,1,52
187,49322f2d_isab9209202207,"2023-09-28 00:00:00","2023-09-28 00:15:00",Mobile,Edge,9,15
188,49322f2d_isab9209202207,"2024-04-29 00:00:00","2024-04-29 01:07:00",Tablet,Firefox,20,67
189,e3a6ad4c_li.t4541202308,"2024-03-16 00:00:00","2024-03-16 01:34:00",Tablet,Edge,12,94
190,1dcc305f_farh0231202201,"2024-03-11 00:00:00","2024-03-11 00:31:00",Desktop,Safari,4,31
191,1dcc305f_farh0231202201,"2023-06-06 00:00:00","2023-06-06 00:43:00",Desktop,Firefox,9,43
192,1dcc305f_farh0231202201,"2023-02-01 00:00:00","2023-02-01 00:45:00",Mobile,Chrome,19,45
193,1dcc305f_farh0231202201,"2023-08-11 00:00:00","2023-08-11 00:12:00",Tablet,Firefox,20,12
194,1dcc305f_farh0231202201,"2023-01-27 00:00:00","2023-01-27 01:40:00",Tablet,Firefox,8,100
195,1dcc305f_farh0231202201,"2023-01-20 00:00:00","2023-01-20 01:39:00",Desktop,Edge,12,99
196,1dcc305f_farh0231202201,"2023-08-13 00:00:00","2023-08-13 01:43:00",Desktop,Edge,12,103
197,1dcc305f_farh0231202201,"2023-01-14 00:00:00","2023-01-14 00:47:00",Tablet,Safari,11,47
198,1dcc305f_farh0231202201,"2023-02-19 00:00:00","2023-02-19 01:57:00",Tablet,Chrome,2,117
199,1dcc305f_farh0231202201,"2023-03-10 00:00:00","2023-03-10 00:05:00",Tablet,Edge,11,5
200,dfeea31f_haru3413202301,"2023-03-09 00:00:00","2023-03-09 00:20:00",Tablet,Edge,6,20
201,dfeea31f_haru3413202301,"2023-02-14 00:00:00","2023-02-14 00:10:00",Tablet,Edge,20,10
202,dfeea31f_haru3413202301,"2024-03-08 00:00:00","2024-03-08 01:18:00",Desktop,Edge,2,78
203,dfeea31f_haru3413202301,"2023-03-15 00:00:00","2023-03-15 00:51:00",Tablet,Chrome,7,51
204,e6d88219_aoi.6366202302,"2023-09-18 00:00:00","2023-09-18 01:36:00",Mobile,Chrome,20,96
205,e6d88219_aoi.6366202302,"2023-08-03 00:00:00","2023-08-03 01:43:00",Desktop,Firefox,18,103
206,e6d88219_aoi.6366202302,"2023-05-03 00:00:00","2023-05-03 00:16:00",Desktop,Edge,20,16
207,e6d88219_aoi.6366202302,"2023-11-30 00:00:00","2023-11-30 00:43:00",Desktop,Firefox,2,43
208,73db32ae_farh5899202306,"2024-04-24 00:00:00","2024-04-24 00:43:00",Tablet,Firefox,3,43
209,0d74d530_ava.7975202305,"2024-02-02 00:00:00","2024-02-02 00:33:00",Mobile,Edge,1,33
210,0d74d530_ava.7975202305,"2024-03-22 00:00:00","2024-03-22 00:56:00",Desktop,Safari,16,56
211,f17d0928_mich6850202210,"2024-03-06 00:00:00","2024-03-06 01:06:00",Tablet,Firefox,14,66
212,f17d0928_mich6850202210,"2023-03-09 00:00:00","2023-03-09 00:17:00",Tablet,Firefox,2,17
213,f17d0928_mich6850202210,"2024-03-19 00:00:00","2024-03-19 00:11:00",Mobile,Safari,17,11
214,f17d0928_mich6850202210,"2023-01-01 00:00:00","2023-01-01 00:49:00",Desktop,Chrome,16,49
215,f17d0928_mich6850202210,"2024-02-02 00:00:00","2024-02-02 00:16:00",Mobile,Edge,13,16
216,f17d0928_mich6850202210,"2024-01-10 00:00:00","2024-01-10 01:49:00",Desktop,Firefox,1,109
217,f17d0928_mich6850202210,"2023-12-28 00:00:00","2023-12-28 01:58:00",Tablet,Safari,2,118
218,19af6eb0_liam7451202202,"2023-10-02 00:00:00","2023-10-02 01:17:00",Desktop,Safari,9,77
219,19af6eb0_liam7451202202,"2023-12-28 00:00:00","2023-12-28 01:51:00",Mobile,Safari,17,111
220,19af6eb0_liam7451202202,"2023-03-23 00:00:00","2023-03-23 01:34:00",Mobile,Safari,17,94
221,19af6eb0_liam7451202202,"2024-03-04 00:00:00","2024-03-04 01:51:00",Desktop,Chrome,1,111
222,19af6eb0_liam7451202202,"2023-01-16 00:00:00","2023-01-16 00:04:00",Tablet,Safari,16,4
223,19af6eb0_liam7451202202,"2024-01-21 00:00:00","2024-01-21 00:01:00",Mobile,Edge,2,1
224,19af6eb0_liam7451202202,"2023-04-21 00:00:00","2023-04-21 01:31:00",Mobile,Firefox,17,91
225,d93ef779_giul7860202212,"2024-01-12 00:00:00","2024-01-12 00:36:00",Tablet,Edge,1,36
226,d93ef779_giul7860202212,"2023-05-17 00:00:00","2023-05-17 01:30:00",Tablet,Firefox,18,90
227,d93ef779_giul7860202212,"2023-12-28 00:00:00","2023-12-28 00:18:00",Desktop,Edge,7,18
228,d93ef779_giul7860202212,"2023-07-14 00:00:00","2023-07-14 01:28:00",Desktop,Safari,18,88
229,d93ef779_giul7860202212,"2024-04-01 00:00:00","2024-04-01 01:52:00",Tablet,Firefox,20,112
230,d93ef779_giul7860202212,"2023-08-27 00:00:00","2023-08-27 01:40:00",Mobile,Safari,5,100
231,d93ef779_giul7860202212,"2023-06-12 00:00:00","2023-06-12 00:09:00",Tablet,Edge,12,9
232,35cf5366_rahi0772202305,"2023-07-09 00:00:00","2023-07-09 00:03:00",Tablet,Firefox,8,3
233,35cf5366_rahi0772202305,"2023-03-16 00:00:00","2023-03-16 01:19:00",Desktop,Chrome,10,79
234,693fb8b9_xin.5349202302,"2023-11-11 00:00:00","2023-11-11 00:14:00",Tablet,Edge,11,14
235,693fb8b9_xin.5349202302,"2023-11-15 00:00:00","2023-11-15 01:26:00",Desktop,Edge,11,86
236,693fb8b9_xin.5349202302,"2023-09-07 00:00:00","2023-09-07 01:02:00",Mobile,Chrome,15,62
237,693fb8b9_xin.5349202302,"2023-11-04 00:00:00","2023-11-04 00:13:00",Tablet,Chrome,7,13
238,693fb8b9_xin.5349202302,"2023-02-27 00:00:00","2023-02-27 00:20:00",Mobile,Safari,7,20
239,693fb8b9_xin.5349202302,"2023-08-11 00:00:00","2023-08-11 01:43:00",Mobile,Safari,16,103
240,693fb8b9_xin.5349202302,"2024-02-03 00:00:00","2024-02-03 00:02:00",Tablet,Edge,11,2
241,693fb8b9_xin.5349202302,"2023-12-13 00:00:00","2023-12-13 00:25:00",Desktop,Chrome,15,25
242,693fb8b9_xin.5349202302,"2023-02-13 00:00:00","2023-02-13 00:15:00",Mobile,Chrome,3,15
243,06fb2296_nusr5441202303,"2023-02-20 00:00:00","2023-02-20 00:56:00",Mobile,Safari,14,56
244,06fb2296_nusr5441202303,"2023-07-31 00:00:00","2023-07-31 01:31:00",Tablet,Safari,2,91
245,06fb2296_nusr5441202303,"2024-02-02 00:00:00","2024-02-02 00:58:00",Tablet,Firefox,15,58
246,06fb2296_nusr5441202303,"2024-02-02 00:00:00","2024-02-02 01:36:00",Desktop,Firefox,15,96
247,06fb2296_nusr5441202303,"2023-09-20 00:00:00","2023-09-20 01:34:00",Mobile,Edge,18,94
248,06fb2296_nusr5441202303,"2023-05-08 00:00:00","2023-05-08 01:46:00",Desktop,Safari,2,106
249,06fb2296_nusr5441202303,"2023-02-25 00:00:00","2023-02-25 01:40:00",Desktop,Firefox,3,100
